question,image,choice1,choice2,choice3,choice4,bloque
Que quere dicir que a electricidade sexa un fenómeno natural?,,Que non foi inventada,Que se inventou hai moitísimo tempo,Que non se pode xerar artificialmente,Que é ecolóxica,electricidade
"A electricidade e o magnetismo son 2 ____________ do mesmo fenómeno, o electromagnetismo",,Manifestacións,Efectos,Forzas,Magnitudes,electricidade
"A palabra electricidade vén do grego elektron, que significa...",,ámbar,electricidade,imán,lóstrego,electricidade
Como se chamaba o grego que lle deu o nome á electricidade?,,Tales,Pitágoras,Theodorakis,Aristóteles,electricidade
Cando comezou a falarse da electricidade e a interesarse pola súa natureza?,,"Arredor do ano 600AC, na civilización grega","A finais do século XVIII, coa revolución científica","A finais do século XIX, coa lámpada eléctrica","No século XV, coa pila de volta e os experimentos de Galvany",electricidade
Cando dicimos que se dá comezo ao uso da electricidade de xeito comercial?,,"A finais do século XIX, coa lámpada eléctrica",Na época dos antiguos gregos,"Coa revolución científica, a finais do século XVIII","A mediados do século XX, coa invención do transistor",electricidade
"A experimentación científica coa electricidade comezou, aproximadamente...",,No século XVIII,No século XIX,A principios do século XX,No século XVII,electricidade
"Que feito histórico coincidiu no tempo, aproximadamente, co comezo da experimentación científica coa electricidade?",,A Revolución Francesa,O Descubrimento de América,A chegada do home á Lúa,A fundación do Imperio Romano,electricidade
Cal non pertence á época da revolución científica?,,Edison,Galvani,Volta,Faraday,electricidade
Con que descubrimento dicimos que comezou o uso da electricidade de xeito comercial,,A lámpada eléctrica,A pila de Volta,O ámbar frotado contra algún tecido,O transistor,electricidade
A implantación e desenvolvemento comercial da electricidade comezou coa lámpada eléctrica...,,A finais do século XIX,A comezos do século XX,A mediados do século XX,A comezos do século XIX,electricidade
"A era da información e a comunicación tamén se desenvolve sobre a electricidade, e o compoñente fundamental sobre o que se asenta é...",,O transistor,A lámpada eléctrica,O electroimán,O relé,electricidade
"As computadoras, móbiles e demáis dispositivos electrónicos son posibles grazas ao transistor, que se inventou...",,A mediados do século XX,A comezos do século XX,A finais do século XIX,A finais do século XX,electricidade
Cando está cargado un corpo?,,cando ten máis cargas dun signo que doutro,cando ten igual número de cargas positivas e negativas,cando ten máis cargas positivas que negativas,cando ten máis cargas negativas que positivas,electricidade
